Table 1.3 : Sex ratio and median age of land-based non-institutional population by District Council district,,
 ,,
 ,Sex ratio of land based non-institutional population,Median age of land based non-institutional population
,Ratio,(Years)
Year,2024,2024
District Council district (DCD),,
Central and Western,714,45
Wan Chai,664,45
Eastern,773,50
Southern,779,48
Yau Tsim Mong,789,45
Sham Shui Po,855,46
Kowloon City,761,46
Wong Tai Sin,854,51
Kwun Tong,863,49
Kwai Tsing,880,49
Tsuen Wan,831,48
Tuen Mun,887,46
Yuen Long,873,45
North,879,46
Tai Po,855,47
Sha Tin,838,47
Sai Kung,826,45
Islands,845,42
Whole Territory,831,47
