Table 2.2 : Labour force participation rate by District Council district and sex,,,
 ,,,
 ,Labour force participation rate,Labour force participation rate,Labour force participation rate
,(%),(%),(%)
Year,2024,2024,2024
Sex,Male,Female,Both sexes
District Council district (DCD),,,
Central and Western,62.6,57.9,59.8
Wan Chai,61.4,59.2,60.0
Eastern,59.3,52.2,55.2
Southern,62.1,55.1,58.1
Yau Tsim Mong,66.4,54.5,59.7
Sham Shui Po,61.5,51.9,56.2
Kowloon City,62.1,53.8,57.3
Wong Tai Sin,61.6,48.5,54.5
Kwun Tong,60.3,49.4,54.3
Kwai Tsing,60.7,48.9,54.4
Tsuen Wan,64.5,55.0,59.2
Tuen Mun,64.9,49.9,56.9
Yuen Long,64.9,53.1,58.5
North,63.4,49.3,55.8
Tai Po,63.7,51.7,57.2
Sha Tin,61.7,50.7,55.7
Sai Kung,64.9,57.0,60.5
Islands,67.2,55.5,60.8
Whole Territory,62.7,52.3,57.0
