"Table 210-06822 : Labour force and labour force participation rate by District Council district, sex and age (excluding foreign domestic helpers)",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 , , ,Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2)
,,,No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),(%),(%),(%)
Age group,Age group,Age group,15 - 24,25 - 54,25 - 54,25 - 54,25 - 54,55 and over,Overall,15 - 24,25 - 54,25 - 54,25 - 54,25 - 54,55 and over,Overall
Age group,Age group,Age group,,25 - 34,35 - 44,45 - 54,Overall,,,,25 - 34,35 - 44,45 - 54,Overall,,
Year,District Council district (DCD),Sex,,,,,,,,,,,,,,
2024,Central and Western,Male,1.5,9.4,12.6,12.7,34.6,15.9,52.1,16.8,89.2,94.7,90.5,91.6,43.3,62.3
2024,Central and Western,Female,1.8,14.4,13.7,9.9,38.0,10.5,50.3,17.7,81.0,78.8,69.2,76.8,24.9,49.4
2024,Central and Western,Both sexes,3.3,23.8,26.2,22.6,72.6,26.5,102.3,17.3,84.0,85.7,79.8,83.2,33.4,55.2
2024,Wan Chai (3),Male,1.6,5.7,8.8,8.5,23.1,10.2,34.9,27.4,94.0,97.0,91.9,94.3,38.2,61.1
2024,Wan Chai (3),Female,2.0,9.8,9.1,7.7,26.6,6.6,35.2,31.6,92.2,74.1,69.4,78.2,20.9,48.9
2024,Wan Chai (3),Both sexes,3.7,15.5,17.9,16.2,49.6,16.8,70.1,29.6,92.8,83.8,79.7,84.9,28.8,54.3
2024,Eastern (3),Male,4.5,21.4,27.2,28.9,77.5,37.3,119.2,25.0,90.9,94.6,91.0,92.2,37.5,59.2
2024,Eastern (3),Female,4.6,21.6,24.4,27.8,73.9,30.9,109.4,26.4,84.8,74.4,70.5,75.6,25.2,46.0
2024,Eastern (3),Both sexes,9.0,43.1,51.6,56.7,151.4,68.2,228.6,25.7,87.7,83.8,79.6,83.2,30.7,52.1
2024,Southern,Male,2.1,10.7,13.1,14.4,38.3,20.1,60.4,21.3,92.8,95.9,89.2,92.4,43.2,61.8
2024,Southern,Female,2.3,10.9,11.7,12.3,34.9,14.2,51.4,23.9,84.1,73.4,68.1,74.3,26.3,46.5
2024,Southern,Both sexes,4.4,21.7,24.8,26.8,73.2,34.2,111.8,22.6,88.2,83.8,78.0,82.8,34.1,53.7
2024,Yau Tsim Mong,Male,3.5,14.4,17.5,19.8,51.6,21.5,76.6,29.2,90.8,91.0,93.1,91.8,45.4,66.3
2024,Yau Tsim Mong,Female,3.9,16.3,16.4,17.7,50.3,13.1,67.3,29.6,78.5,67.5,71.8,72.3,24.5,49.4
2024,Yau Tsim Mong,Both sexes,7.4,30.7,33.8,37.5,102.0,34.6,143.9,29.4,83.9,77.8,81.7,81.0,34.3,57.2
2024,Sham Shui Po,Male,5.5,21.6,25.8,25.4,72.8,28.0,106.3,30.0,89.0,95.3,91.3,92.0,37.2,61.5
